                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2862,                 2.2487,                 1.6122,                 1.1685,                 0.8137,                 0.6295,                0.73615,                0.53225,                0.81385,                0.62364,                0.72262,                0.46443,                  1.026,                 2.0457,                 1.5198,                 1.0634,             0.00066162,             0.00066162,             0.00066162
                      1,                 1.1097,                 1.8959,                 1.0388,                 1.0708,                0.76178,                0.69052,                0.78538,                0.57083,                0.76347,                0.68855,                0.78011,                0.51847,                0.96774,                 1.8746,                  1.028,                 1.0541,              0.0012757,              0.0012757,              0.0012757
                      2,                 1.1056,                 1.8929,                0.97932,                 1.0661,                0.80197,                0.75123,                 0.8222,                0.60954,                0.81157,                0.73741,                0.81502,                0.55503,                0.91988,                 1.7166,                0.86661,                 1.0234,              0.0018369,              0.0018369,              0.0018369
                      3,                 1.0688,                 1.8252,                0.93035,                 1.0507,                 0.7614,                0.75605,                 0.7973,                0.58651,                0.76383,                0.75827,                0.79662,                0.51259,                0.92488,                 1.8282,                0.99376,                 1.0276,              0.0017624,              0.0017624,              0.0017624
                      4,                 1.0316,                 1.7602,                0.87214,                 1.0384,                0.79031,                0.79433,                0.85189,                0.64124,                0.79307,                0.78695,                0.84448,                0.59011,                0.88993,                 1.6218,                0.75856,                 1.0201,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.0247,                 1.7579,                0.85224,                 1.0391,                0.83003,                0.79542,                 0.8633,                0.64753,                0.82714,                0.78924,                0.85046,                0.59128,                0.88444,                 1.5793,                0.74449,                 1.0028,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.0029,                 1.7105,                 0.8189,                 1.0257,                0.86798,                0.77542,                0.87431,                 0.6789,                0.86522,                0.77295,                0.86794,                0.62399,                0.82681,                 1.4696,                0.67102,                 0.9887,               0.001604,               0.001604,               0.001604
                      7,                 0.9875,                 1.6918,                0.80015,                 1.0196,                 0.8482,                0.78628,                0.86583,                0.66756,                0.85739,                0.77591,                0.86263,                0.61832,                0.83646,                 1.4117,                0.67959,                0.99366,              0.0015248,              0.0015248,              0.0015248
                      8,                0.97066,                 1.6451,                0.77321,                 1.0128,                0.85804,                0.80254,                0.88413,                0.69044,                 0.8554,                0.80007,                0.87751,                0.63022,                 0.8135,                 1.4177,                0.63776,                0.97555,              0.0014456,              0.0014456,              0.0014456
                      9,                0.96406,                 1.6377,                0.75758,                 1.0086,                0.86832,                0.82478,                0.89347,                0.70302,                0.87484,                0.81767,                0.88775,                0.63845,                0.79811,                 1.3752,                0.61186,                0.96753,              0.0013664,              0.0013664,              0.0013664
